id_calle;flujo;;;Rangos;;Numero calles
0;544;;;0;100;5446
1;508;;;100;200;644
2;679;;;200;300;247
3;370;;;300;400;154
4;1330;;;400;500;111
5;1443;;;500;600;74
6;995;;;600;700;47
7;3725;;;700;800;41
8;2276;;;800;900;22
9;462;;;900;1000;34
10;1220;;;1000;1100;28
11;753;;;1100;1200;26
12;1504;;;1200;1300;22
13;1400;;;1300;1400;10
14;4617;;;1400;1500;13
15;1175;;;1500;1600;16
16;319;;;1600;1700;8
17;1102;;;1700;1800;14
18;1811;;;1800;1900;7
19;1105;;;1900;2000;3
20;2394;;;2000;2100;7
21;2667;;;2100;2200;5
22;1445;;;2200;2300;3
23;238;;;2300;2400;7
24;1190;;;2400;2500;0
25;6200;;;2500;2600;3
26;934;;;2600;2700;5
27;403;;;2700;2800;3
28;437;;;2800;2900;1
29;3753;;;2900;3000;3
30;1731;;;3000;3100;1
31;418;;;3100;3200;3
32;372;;;3200;3300;2
33;337;;;3300;3400;0
34;1688;;;3400;3500;0
35;4794;;;3500;3600;0
36;793;;;3600;3700;0
37;377;;;3700;3800;5
38;490;;;3800;3900;0
39;1495;;;3900;4000;3
40;358;;;4000;4100;1
41;362;;;;;
42;1206;;;;;
43;540;;;;;
44;1719;;;;;
45;234;;;;;
46;2712;;;;;
47;1176;;;;;
48;709;;;;;
49;1628;;;;;
50;783;;;;;
51;166;;;;;
52;393;;;;;
53;272;;;;;
54;286;;;;;
55;481;;;;;
56;155;;;;;
57;238;;;;;
58;236;;;;;
59;283;;;;;
60;169;;;;;
61;159;;;;;
62;159;;;;;
63;255;;;;;
64;62;;;;;
65;104;;;;;
66;160;;;;;
67;595;;;;;
68;94;;;;;
69;181;;;;;
70;525;;;;;
71;88;;;;;
72;179;;;;;
73;181;;;;;
74;36;;;;;
75;94;;;;;
76;77;;;;;
77;74;;;;;
78;69;;;;;
79;275;;;;;
80;199;;;;;
81;85;;;;;
82;80;;;;;
83;130;;;;;
84;231;;;;;
85;143;;;;;
86;141;;;;;
87;91;;;;;
88;128;;;;;
89;103;;;;;
90;93;;;;;
91;157;;;;;
92;132;;;;;
93;66;;;;;
94;167;;;;;
95;111;;;;;
96;363;;;;;
97;193;;;;;
98;155;;;;;
99;290;;;;;
100;155;;;;;
101;285;;;;;
102;276;;;;;
103;244;;;;;
104;108;;;;;
105;103;;;;;
106;238;;;;;
107;333;;;;;
108;376;;;;;
109;118;;;;;
110;110;;;;;
111;90;;;;;
